artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,type,duration,year,month,day_of_the_week
Ed Sheeran,You (feat. Wiley),7h7KBBdYIzrxOsLfR9aUO7,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,30,False,0.799,0.532,C#/Db,-9.472,Minor,0.0707,0.386,0.00017,0.0978,0.189,100.032,4,['Wiley'],Extended Play,03:21,2011,September,Friday
Ed Sheeran,You (feat. Wiley),6dSgNLxLDgTaPQlB15yOOK,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,24,False,0.799,0.532,C#/Db,-9.472,Minor,0.0707,0.386,0.00017,0.0978,0.189,100.032,4,['Wiley'],Compilation Album,03:21,2014,June,Friday
Ed Sheeran,Small Bump,2sKgjO8vxk7znTpwNAptaW,+,0W5GGnapMz0VwemQvJDqa7,2011-09-09,32,False,0.81,0.436,A#/Bb,-12.683,Major,0.0717,0.689,0.000151,0.11,0.446,119.973,4,[],Studio Album,04:19,2011,September,Friday
Ed Sheeran,Family (feat. P Money),79d2OA4Sj4nfw0vk8EV82D,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,29,False,0.476,0.704,A,-5.411,Minor,0.278,0.515,0.0,0.094,0.297,140.396,4,['P Money'],Extended Play,04:14,2011,September,Friday
Ed Sheeran,2step (feat. Armaan Malik),3Gxo1itE2q8dTrhX7atqCE,2step (The Remixes),0a28QsFN8zbrWSvbSQ40PI,2021-10-25,30,False,0.747,0.667,E,-5.181,Minor,0.0566,0.18,0.0,0.146,0.508,95.0,4,['Armaan Malik'],Remix Album,02:33,2021,October,Monday
Ed Sheeran,The City - Live at the Bedford,4HQcJua3wHJLvBvc3gKJTr,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,25,False,0.602,0.8,G,-5.91,Major,0.0734,0.545,0.0,0.656,0.81,109.921,4,[],Compilation Album,05:07,2014,June,Friday
Ed Sheeran,"You Need Me, I Don't Need You - Live at the Bedford",5rJDpFuffh8UFEKqvzCAZP,Live at the Bedford,4JUtnlZKdLr01xEIymhm0G,2011-12-09,29,False,0.506,0.911,C,-4.779,Major,0.23,0.48,0.0,0.696,0.781,105.475,4,[],Extended Play,09:50,2011,December,Friday
Ed Sheeran,So,2IpFUObI1qBgkuC21cJOXZ,You Need Me,6b6NoQ00gDKdOUBxRYTA7t,2009-01-01,27,False,0.521,0.133,A#/Bb,-10.599,Major,0.0431,0.853,0.0,0.35,0.391,140.077,4,[],Extended Play,04:28,2009,January,Thursday
Ed Sheeran,2step (feat. Antytila),0EgNmGWjnYm3FMyaOW5xsM,2step (The Remixes),0a28QsFN8zbrWSvbSQ40PI,2021-10-25,31,False,0.506,0.695,E,-5.185,Minor,0.105,0.235,0.0,0.151,0.599,93.75,4,['Antytila'],Remix Album,02:33,2021,October,Monday
Ed Sheeran,Radio (feat. JME),3MUKlVjVJBvPf4flrDq8KB,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,24,False,0.693,0.833,F#/Gb,-5.408,Minor,0.263,0.214,0.0,0.117,0.759,99.901,4,['Jme'],Compilation Album,03:42,2014,June,Friday
Ed Sheeran,Homeless - Live at the Bedford,0ewWskuCnqrTFvMUqtAQwF,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,24,False,0.601,0.879,A,-5.215,Major,0.0945,0.62,0.0,0.464,0.713,99.377,4,[],Compilation Album,03:45,2014,June,Friday
